Brand,Store_Count,City_Cover,Average_Price
捣捣果果·鲜果手作,8,3,18
茶小象,8,2,12
解燥局·蔬果茶,8,1,20
某有茶·黑糖珍珠奶茶,8,1,
秋水茶作,8,2,
半山柠手打柠檬茶,8,5,
鮀浦老四果汁冰,8,2,
张小希鲜茶,8,2,
原鲜,7,3,55
眷茶师,7,7,15
速蚁西米露,7,3,11
南霆茶序,7,1,17
哈茶福,7,6,20
TEAMACC茶玛,7,5,14
猫一下午,7,3,15
糖茶·水果茶,7,6,14
茶二·现萃中国茶,7,4,20
牛男奶茶,7,4,12
凝香柠BalsamLemon,7,1,14
鲜疯鲜果茶,7,4,18
朕有茶,7,7,14
半仙豆夫,7,6,21
Taの茶,7,1,15
氪20,7,4,18
艾伦与茶,7,2,8
小茶勺,7,3,14
宜香柠,7,4,13
OrangeLeft 橙子向左,7,1,20
四喜盛燕,7,4,19
雾与山茶,7,2,17
喝茶乐园,7,1,17
玛尚掂?茶饮?简餐,7,1,19
玉米熊·鲜榨玉米汁·果汁,7,1,14
弥茶,7,7,17
欧吉,7,2,13
滋滋鲜作,7,3,13
每日鲜维果汁果茶,7,1,14
鸳鸯YUENYEUNG,7,5,11
廣福德记·传统手作茶点铺,7,1,25
MOULOO本来無楽,7,2,21
柠自在·手打柠檬茶,7,2,13
茶千颜,7,4,
茶揽云滇,7,1,
晴天见奶盖茶,7,4,
指饮茶饮,7,1,
江南小茶匠,6,3,13
沫沫班长,6,2,23
武空茶,6,2,17
叶婆手作,6,4,10
密西西,6,3,10
当心椰子,6,5,20
三平方,6,1,12
酉茶说,6,2,19
细龟制茶,6,2,15
蜜秀精灵,6,1,7
注春·荞麦奶茶,6,5,15
初作,6,3,17
猫小咪独家奶茶铺,6,1,12
华言豆腐鲜奶茶,6,5,12
奶茶故事,6,1,14
百草间,6,5,21
古益茗,6,4,11
七西烧仙草,6,2,14
五二兰柠檬茶,6,3,18
嚮茶·HAPPY CUP,6,1,15
趴踢滩·手作鲜茶,6,2,11
南洋茶铺,6,3,16
茶以知人,6,2,15
Darling咑柠茶档,6,1,19
柠8C·爆打椰子柠檬茶,6,5,14
樂麓山·芒果饮品,6,2,17
宗狮打柠,6,2,15
惜城の茶,6,3,14
檬猩猩·鲜果柠檬茶,6,1,16
悦初茶,6,3,16
8号码头,6,3,15
小柠快跑·手打柠檬茶,6,2,14
星叹·厚肉果汁,6,1,24
等茶来鲜萃奶茶,6,4,11
